X,Sample.ID,Download.Source,TLD,Download.Speed,Ping.Time.To.Server,File.Size.Bytes,How.Many.Times.File.Seen,Executable.Code.Maybe.Present.in.Headers,Calls.To.Low.level.System.Libraries,Evidence.of.Code.Obfuscation,Threads.Started,Mean.Word.Length.of.Extracted.Strings,Similarity.Score,Actually.Malicious,Initial.Statistical.Analysis
2,5,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,139,8286101,600,NO,790,NO,1,5.11,1.869800279,NO,Correctly Identified as Clean
3,9,Linked Directly to Google Search Result,.gov,1MB/s to 10MB/s,218,10336387,633,NO,1048,YES,1,4.83,-0.508278819,NO,Correctly Identified as Clean
5,11,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,423,6311331,616,YES,567,YES,1,4.57,1.335511439,NO,Correctly Identified as Clean
10,21,Wordpress Powered Web Site,.com,100KB/s to 1MB/s,229,1986426,635,YES,156,YES,1,4.26,0.849938676,NO,Correctly Identified as Clean
12,34,Wordpress Powered Web Site,.gov,100KB/s to 1MB/s,159,2667491,477,YES,214,YES,1,5.58,-0.370266608,NO,Correctly Identified as Clean
13,39,Well Known Software Download Websites,.net,100KB/s to 1MB/s,196,9737305,577,NO,970,YES,1,4.46,1.39032176,NO,Incorrectly Identified as Malware
14,41,Well Known Software Download Websites,.net,100KB/s to 1MB/s,195,6503682,634,YES,588,NO,1,5.32,-0.2867443,NO,Correctly Identified as Clean
15,47,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,252,866526,775,YES,66,YES,1,5.31,1.274735187,YES,Correctly Identified as Malware
22,63,Git Repository,.com,100KB/s to 1MB/s,196,26602123,529,YES,4400,YES,1,5.29,0.23084205,YES,Correctly Identified as Malware
24,67,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,67,7289565,429,NO,675,YES,1,5.67,-0.72516023,YES,Correctly Identified as Malware
26,74,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,281,676601,575,NO,51,YES,1,5.49,-0.829222742,YES,Incorrectly Identified as Clean
33,97,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,88,12566349,677,YES,1363,NO,1,5.09,1.500779275,NO,Correctly Identified as Clean
34,100,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,225,12836321,456,NO,1404,YES,1,5.08,-1.017633098,YES,Correctly Identified as Malware
41,130,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,437,1134194,611,YES,87,YES,1,4.53,0.840743113,NO,Correctly Identified as Clean
48,145,Well Known Software Download Websites,.net,100KB/s to 1MB/s,599,13544688,647,YES,1513,YES,1,4.71,0.127456343,YES,Incorrectly Identified as Clean
54,161,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,319,5558175,655,NO,488,NO,1,5.64,0.242584569,YES,Correctly Identified as Malware
55,162,Well Known Software Download Websites,.com,1MB/s to 10MB/s,352,2642602,419,NO,212,NO,1,4.74,2.215863932,YES,Incorrectly Identified as Clean
57,176,Well Known Software Download Websites,.com,1MB/s to 10MB/s,926,3667709,523,NO,304,YES,1,4.76,1.035733917,NO,Correctly Identified as Clean
64,192,Well Known Software Download Websites,.net,100KB/s to 1MB/s,237,3967297,632,NO,332,YES,1,5.21,0.807011013,YES,Incorrectly Identified as Clean
65,196,Linked Directly to Google Search Result,.net.au,100KB/s to 1MB/s,47,18131637,672,YES,2325,YES,1,4.13,-0.96078607,NO,Correctly Identified as Clean
67,213,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,128,9524652,385,YES,943,YES,1,4.85,0.135254822,YES,Incorrectly Identified as Clean
70,224,Well Known Software Download Websites,.com,100KB/s to 1MB/s,260,14971083,660,NO,1746,YES,1,4.96,0.677729699,YES,Incorrectly Identified as Clean
81,265,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,52,10563076,661,NO,1079,YES,1,4.67,-0.78116308,NO,Correctly Identified as Clean
83,270,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,132,5399886,629,YES,472,YES,1,4.12,0.561516446,NO,Incorrectly Identified as Malware
87,283,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,109,785082,532,YES,59,YES,1,5.31,0.369721292,YES,Incorrectly Identified as Clean
88,284,Well Known Software Download Websites,.com,100KB/s to 1MB/s,327,31867648,835,YES,6175,YES,1,4.25,-1.358169518,NO,Correctly Identified as Clean
